Size,ArrayType,Algorithm,TimeMs,Comparisons
1000,Reverse,QuickSort,1.11733,519831
1000,Reverse,StringMergeSort,0.752975,8050
1000,Reverse,StringQuickSort,0.115228,24323
1000,Reverse,MSD,0.240985,4836
1000,Reverse,MSD_QS,0.114745,18763
1000,NearlySorted,MergeSort,0.489448,16110
1000,NearlySorted,QuickSort,0.782034,268401
1000,NearlySorted,StringMergeSort,0.498374,10750
1000,NearlySorted,StringQuickSort,0.0734836,20803
1000,NearlySorted,MSD,0.199405,4770
1000,NearlySorted,MSD_QS,0.0732202,8801
1000,CommonPrefix,MergeSort,0.669668,266969
1000,CommonPrefix,QuickSort,0.146664,157848
1000,CommonPrefix,StringMergeSort,0.619037,133795
1000,CommonPrefix,StringQuickSort,0.07615,24751
1000,CommonPrefix,MSD,0.505892,32322
1000,CommonPrefix,MSD_QS,0.378758,33582
1100,Random,MergeSort,0.65554,25960
1100,Random,QuickSort,0.105449,15797
1100,Random,StringMergeSort,0.636637,13094
1100,Random,StringQuickSort,0.0775758,11909
1100,Random,MSD,0.202072,4748
1100,Random,MSD_QS,0.0833642,6473
1100,Reverse,MergeSort,0.59555,26133
1100,Reverse,QuickSort,1.44448,626810
1100,Reverse,StringMergeSort,0.59048,8711
1100,Reverse,StringQuickSort,0.150959,27811
1100,Reverse,MSD,0.27501,5326
1100,Reverse,MSD_QS,0.118745,20600
1100,NearlySorted,MergeSort,0.571639,17773
1100,NearlySorted,QuickSort,1.09515,321400
1100,NearlySorted,StringMergeSort,0.593126,12063
1100,NearlySorted,StringQuickSort,0.0886302,23600
1100,NearlySorted,MSD,0.229392,5274
1100,NearlySorted,MSD_QS,0.0834032,9733
1100,CommonPrefix,MergeSort,0.751739,296692
1100,CommonPrefix,QuickSort,0.289162,191932
1100,CommonPrefix,StringMergeSort,0.888215,149722
1100,CommonPrefix,StringQuickSort,0.0812666,26858
1100,CommonPrefix,MSD,0.550979,35590
1100,CommonPrefix,MSD_QS,0.395041,37155
1200,Random,MergeSort,0.858659,28723
1200,Random,QuickSort,0.146912,17645
1200,Random,StringMergeSort,0.648024,14549
1200,Random,StringQuickSort,0.0751492,12451
1200,Random,MSD,0.206682,5196
1200,Random,MSD_QS,0.0845452,7154
1200,Reverse,MergeSort,0.605626,28638
1200,Reverse,QuickSort,1.58725,743634
1200,Reverse,StringMergeSort,0.611738,9546
1200,Reverse,StringQuickSort,0.148254,33135
1200,Reverse,MSD,0.322915,5834
1200,Reverse,MSD_QS,0.128875,22330
1200,NearlySorted,MergeSort,0.763287,19961
1200,NearlySorted,QuickSort,1.32621,433012
1200,NearlySorted,StringMergeSort,0.806872,13511
1200,NearlySorted,StringQuickSort,0.127345,27311
1200,NearlySorted,MSD,0.256421,5724
1200,NearlySorted,MSD_QS,0.0863576,10671
1200,CommonPrefix,MergeSort,0.80885,327918
1200,CommonPrefix,QuickSort,0.179506,210906
1200,CommonPrefix,StringMergeSort,0.735026,165958
1200,CommonPrefix,StringQuickSort,0.0975472,30528
1200,CommonPrefix,MSD,0.63043,38852
1200,CommonPrefix,MSD_QS,0.435089,40703
1300,Random,MergeSort,0.770456,31696
1300,Random,QuickSort,0.12613,18855
1300,Random,StringMergeSort,0.788004,16032
1300,Random,StringQuickSort,0.103822,14569
1300,Random,MSD,0.238437,5666
1300,Random,MSD_QS,0.101541,7849
1300,Reverse,MergeSort,0.743527,31023
1300,Reverse,QuickSort,2.11996,871030
1300,Reverse,StringMergeSort,0.893057,10341
1300,Reverse,StringQuickSort,0.135686,36999
1300,Reverse,MSD,0.278473,6326
1300,Reverse,MSD_QS,0.132904,24507
1300,NearlySorted,MergeSort,0.657386,22171
1300,NearlySorted,QuickSort,1.71986,553802
1300,NearlySorted,StringMergeSort,0.684248,14873
